state,year,vs_compare
FLORIDA,2000,-7.359301528230364
FLORIDA,2004,-8.511860129540608
FLORIDA,2008,-7.94403497837547
FLORIDA,2012,-9.500848590937219
FLORIDA,2016,-10.458218451811648
FLORIDA,2020,-6.664764583782149
FLORIDA,2024,-4.468397435699077
GEORGIA,2000,9.74037612242919
GEORGIA,2004,14.314909207413756
GEORGIA,2008,22.743382521969025
GEORGIA,2012,24.986266104184942
GEORGIA,2016,27.751393105815634
GEORGIA,2020,7.519794134326855
GEORGIA,2024,29.87515521888758
HAWAII,2000,-2.3108222622578865
HAWAII,2004,-6.812212591487288
HAWAII,2008,-4.497694184119467
HAWAII,2012,-3.7290520808288434
HAWAII,2016,-1.807667225352759
HAWAII,2020,-2.998867362012689
HAWAII,2024,-1.8350286308464305
IDAHO,2000,11.040667026403897
IDAHO,2004,10.826068093521977
IDAHO,2008,9.43149778960755
IDAHO,2012,11.850324552355659
IDAHO,2016,6.673301901914591
IDAHO,2020,5.521370776163336
IDAHO,2024,3.1612622672627353
ILLINOIS,2000,5.859312856453449
ILLINOIS,2004,6.850938879132466
ILLINOIS,2008,9.548134519278664
ILLINOIS,2012,12.757185630637252
ILLINOIS,2016,20.611638712776937
ILLINOIS,2020,21.66485903117533
ILLINOIS,2024,19.839033217778766
INDIANA,2000,-2.7622554078893335
INDIANA,2004,-2.6620734092043414
INDIANA,2008,-0.604051576114974
INDIANA,2012,-1.700690037139899
INDIANA,2016,2.2246353581169145
INDIANA,2020,4.611595452157435
INDIANA,2024,5.912857616985056
KENTUCKY,2000,9.008138039437537
KENTUCKY,2004,8.87522894029
KENTUCKY,2008,9.492968654283477
KENTUCKY,2012,7.7149626028244
KENTUCKY,2016,11.437282441282129
KENTUCKY,2020,13.820551508356646
KENTUCKY,2024,13.887036919783739
MAINE,2000,3.80587274218833
MAINE,2004,-0.13488554276386347
MAINE,2008,-0.04484886356539638
MAINE,2012,-0.5969860053708137
MAINE,2016,-2.1348907623858957
MAINE,2020,-1.8609297454372395
MAINE,2024,-2.2481664461222954
MICHIGAN,2000,9.597620757368563
MICHIGAN,2004,7.346692341141857
MICHIGAN,2008,9.80351451485534
MICHIGAN,2012,10.222766406433635
MICHIGAN,2016,8.425532843028297
MICHIGAN,2020,6.321142294542806
MICHIGAN,2024,4.218086365345847
MINNESOTA,2000,5.704670766559495
MINNESOTA,2004,0.9874728912381414
MINNESOTA,2008,0.4143062237135382
MINNESOTA,2012,-0.7852936259423444
MINNESOTA,2016,10.204151639940768
MINNESOTA,2020,13.981346059234376
MINNESOTA,2024,14.613814084748867
MISSOURI,2000,-8.092146204833758
MISSOURI,2004,-10.13714621334982
MISSOURI,2008,-10.310222388060566
MISSOURI,2012,-10.660487845706974
MISSOURI,2016,-11.596829125235683
MISSOURI,2020,-12.564050186581941
MISSOURI,2024,-13.365822933195435
MONTANA,2000,-0.4967671948997392
MONTANA,2004,0.7106416930316944
MONTANA,2008,2.9042499542818967
MONTANA,2012,3.1593611267557216
MONTANA,2016,2.3432954219712214
MONTANA,2020,3.5611472460780598
MONTANA,2024,4.282246718795538
NEVADA,2000,15.80349334880733
NEVADA,2004,19.419334574717144
NEVADA,2008,23.132100182517554
NEVADA,2012,25.81737258055175
NEVADA,2016,29.179419225428877
NEVADA,2020,30.441579225875376
NEVADA,2024,27.19894532821971
NEW MEXICO,2000,6.260880500756845
NEW MEXICO,2004,10.318213999529359
NEW MEXICO,2008,12.145562877463577
NEW MEXICO,2012,12.355287444079437
NEW MEXICO,2016,11.644887306129176
NEW MEXICO,2020,15.160851499073456
NEW MEXICO,2024,5.017067389192096
NORTH CAROLINA,2000,4.217152545125916
NORTH CAROLINA,2004,3.913059313834112
NORTH CAROLINA,2008,8.897375606614037
NORTH CAROLINA,2012,10.795142826222877
NORTH CAROLINA,2016,16.0023976912716
NORTH CAROLINA,2020,3.9569679569375293
NORTH CAROLINA,2024,3.7880246134897777
NORTH DAKOTA,2000,9.382260017398577
NORTH DAKOTA,2004,9.416157334527188
NORTH DAKOTA,2008,15.098265990437067
NORTH DAKOTA,2012,16.924384906352604
NORTH DAKOTA,2016,14.181876335049246
NORTH DAKOTA,2020,17.567728546827936
NORTH DAKOTA,2024,16.00605746691555
OHIO,2000,-1.394236540789623
OHIO,2004,-2.1518602475250392
OHIO,2008,-0.7840291455232821
OHIO,2012,-0.2868016303896888
OHIO,2016,1.4305081450400994
OHIO,2020,2.102374665624252
OHIO,2024,2.015946775434043
OREGON,2000,13.869190418344227
OREGON,2004,16.529630251625605
OREGON,2008,16.52221345346298
OREGON,2012,16.60269279312669
OREGON,2016,17.92734249919787
OREGON,2020,18.92459750713433
OREGON,2024,18.78951702578768
SOUTH CAROLINA,2000,-10.248142260857293
SOUTH CAROLINA,2004,-11.884765225093698
SOUTH CAROLINA,2008,-11.396462477473614
SOUTH CAROLINA,2012,-13.186671834527457
SOUTH CAROLINA,2016,-12.961097116141174
SOUTH CAROLINA,2020,-1.8411878978081708
SOUTH CAROLINA,2024,-1.4062258612962881
SOUTH DAKOTA,2000,7.346856157575259
SOUTH DAKOTA,2004,4.539721306898603
SOUTH DAKOTA,2008,8.61110808775412
SOUTH DAKOTA,2012,6.243123688283641
SOUTH DAKOTA,2016,-6.695869260119035
SOUTH DAKOTA,2020,-6.431402788306345
SOUTH DAKOTA,2024,4.921407425511779
TENNESSEE,2000,8.836255375436151
TENNESSEE,2004,9.811669161727224
TENNESSEE,2008,12.79276135780726
TENNESSEE,2012,13.828769406919124
TENNESSEE,2016,14.913253271625532
TENNESSEE,2020,15.699986407679617
TENNESSEE,2024,14.351655830050237
TEXAS,2000,-7.322083596692039
TEXAS,2004,-4.328624144438488
TEXAS,2008,-10.723259214969588
TEXAS,2012,-10.009332455160033
TEXAS,2016,-3.5781210073242278
TEXAS,2020,3.356683004690877
TEXAS,2024,9.20250256949878
UTAH,2000,6.177211637328135
UTAH,2004,2.2149945325088916
UTAH,2008,4.3119602943278945
UTAH,2012,1.2194098053136682
UTAH,2016,3.6453210060108434
UTAH,2020,2.857138599774208
UTAH,2024,8.488853150465625
VIRGINIA,2000,6.998140312771433
VIRGINIA,2004,6.9582324833745854
VIRGINIA,2008,6.777412920480055
VIRGINIA,2012,7.862956488816527
VIRGINIA,2016,11.299137216252229
VIRGINIA,2020,3.7442108344295635
VIRGINIA,2024,9.868780621205804
WASHINGTON,2000,2.2042102405603297
WASHINGTON,2004,1.5161186968944875
WASHINGTON,2008,1.8739851824439568
WASHINGTON,2012,1.8163473137696393
WASHINGTON,2016,4.749279485920041
WASHINGTON,2020,3.8582149726050745
WASHINGTON,2024,2.652870223308425
WEST VIRGINIA,2000,9.444306303877273
WEST VIRGINIA,2004,8.40500194634228
WEST VIRGINIA,2008,5.7176081502640415
WEST VIRGINIA,2012,4.621771736051459
WEST VIRGINIA,2016,4.940684307721197
WEST VIRGINIA,2020,7.5846240908279565
WEST VIRGINIA,2024,8.06771968614534
WYOMING,2000,-1.0079055314309322
WYOMING,2004,-7.777772983892957
WYOMING,2008,-10.345652431629983
WYOMING,2012,-9.297466878686851
WYOMING,2016,-15.481211425500756
WYOMING,2020,-17.05140946061143
WYOMING,2024,-16.81244092408069
