GEOID,year,candidatevotes,totalvotes,voteshare
   NA,2000,0,0,NA
   NA,2004,0,0,NA
   NA,2008,0,0,NA
   NA,2012,2339,4305,54.33217189314751
   NA,2016,3654,7330,49.84993178717599
   NA,2020,1276,1374,92.86754002911208
 1001,2000,4942,17208,28.71920037192004
 1001,2004,4758,20081,23.69403914147702
 1001,2008,6093,23641,25.773021445793326
 1001,2012,6363,23932,26.58783219120842
 1001,2016,5936,24973,23.76967124494454
 1001,2020,7503,27770,27.018365142239826
 1001,2024,7439,28281,26.303878929316504
 1003,2000,13997,56480,24.782223796033996
 1003,2004,15599,69320,22.502885170225042
 1003,2008,19386,81413,23.811921928930268
 1003,2012,18424,85338,21.58944432726335
 1003,2016,18458,95215,19.3856010082445
 1003,2020,24578,109679,22.409029987509005
 1003,2024,24934,122249,20.396076859524413
 1005,2000,5188,10395,49.90860990860991
 1005,2004,4832,10777,44.83622529460889
 1005,2008,5697,11630,48.9853826311264
 1005,2012,5912,11509,51.36849422191329
 1005,2016,4871,10469,46.52784411118541
 1005,2020,4816,10518,45.78817265639856
 1005,2024,4158,9855,42.19178082191781
 1007,2000,2710,7101,38.1636389240952
 1007,2004,2089,7600,27.48684210526316
 1007,2008,2299,8644,26.59648310967145
 1007,2012,2202,8420,26.152019002375297
 1007,2016,1874,8819,21.249574781721282
 1007,2020,1986,9595,20.698280354351226
 1007,2024,1619,9257,17.489467430052933
 1009,2000,4977,17973,27.691537305958942
 1009,2004,3938,21504,18.312872023809522
 1009,2008,3522,24267,14.513536901965631
 1009,2012,2970,24006,12.371907023244189
 1009,2016,2156,25588,8.425824605283728
 1009,2020,2640,27588,9.569377990430622
 1009,2024,2576,28163,9.146752831729573
 1011,2000,3395,4904,69.22920065252855
 1011,2004,3210,4717,68.05172779308883
 1011,2008,4011,5415,74.07202216066482
 1011,2012,4061,5322,76.30590003757986
 1011,2016,3530,4710,74.94692144373673
 1011,2020,3446,4613,74.70192933015392
 1011,2024,2983,4111,72.56142057893456
 1013,2000,3606,7803,46.21299500192234
 1013,2004,3413,8416,40.5537072243346
 1013,2008,4188,9709,43.13523534864559
 1013,2012,4374,9496,46.06149957877001
 1013,2016,3726,8732,42.67063673843335
 1013,2020,3965,9488,41.78962900505902
 1013,2024,3251,8480,38.3372641509434
 1015,2000,15781,38909,40.55873962322342
 1015,2004,15083,45249,33.33333333333333
 1015,2008,16334,49242,33.1708703951911
 1015,2012,15511,46257,33.532222150161054
 1015,2016,13242,47864,27.665886678923616
 1015,2020,15216,50983,29.845242531824333
 1015,2024,13194,48653,27.118574394179184
 1017,2000,5616,11834,47.45648132499578
 1017,2004,5347,13032,41.02977286678944
 1017,2008,6799,14956,45.46001604707141
 1017,2012,6871,14611,47.02621312709602
 1017,2016,5784,13900,41.611510791366904
 1017,2020,6365,15284,41.644857367181366
 1017,2024,5405,14245,37.94313794313794
 1019,2000,3497,7823,44.70152115556692
 1019,2004,3040,9049,33.594872361586916
 1019,2008,2306,9745,23.66341713699333
 1019,2012,2132,9779,21.801820227017078
 1019,2016,1547,10733,14.413491102208143
 1019,2020,1624,12301,13.202178684659785
 1019,2024,1553,13006,11.940642780255267
 1021,2000,4806,15092,31.84468592631858
 1021,2004,3778,16693,22.632241059126578
 1021,2008,3674,17785,20.657857745290976
 1021,2012,3397,17462,19.453670828083837
 1021,2016,2911,18369,15.847351516141325
 1021,2020,3073,19310,15.91403417918177
 1021,2024,2698,19763,13.651773516166573
 1023,2000,3707,7374,50.27122321670735
 1023,2004,3303,7227,45.70361145703611
 1023,2008,3636,7894,46.060298961236384
 1023,2012,3786,7968,47.515060240963855
 1023,2016,3109,7292,42.63576522216127
 1023,2020,3127,7464,41.89442658092176
 1023,2024,2515,6656,37.785456730769226
 1025,2000,4679,10752,43.51748511904761
 1025,2004,4627,11394,40.6090925048271
