"","GEOID","year","candidatevotes","totalvotes","voteshare","park_code","county_code","distance_m","OBJECTID","UNIT_CODE","GIS_Notes","UNIT_NAME","DATE_EDIT","STATE","REGION","GNIS_ID","UNIT_TYPE","CREATED_BY","METADATA","PARKNAME","CreationDa","Creator","EditDate","Editor","GlobalID","Shape_Leng","Shape_Area","STATEFP","COUNTYFP","COUNTYNS","GEOIDFQ","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","X","Y","CnP_distance_miles","CnP_distance_log","WHITE","INCOME","INCOME10K","POPULATION","POPULATION100K","BA","M1_distance_miles","M1_distance_log"
"1","04001",2000,13025,19456,66.9459292763158,"Q1","R99",51871.8650754648,327,"PEFO","Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/Metadata/pefo_metadata.xml","Petrified Forest National Park","20230313142629","AZ","IM","23864","National Park","Lands","https://irma.nps.gov/DataStore/Reference/Profile/2298908","Petrified Forest",NA,"NPS_WASO_LANDS","20250703144025","NPS_WASO_LANDS","{46FABB97-452C-4604-8485-920E2815EF25}",0,1347243521.66979,"04","001","00025441","0500000US04001","Apache","Apache County","06","H1","G4020",NA,NA,NA,"A",29003487955,54140333,"+35.3850840","-109.4901722",-109.488437960751,35.3840403145371,32.2316826455157,3.47294990189604,20.2436053593179,40632,4.0632,65036,0.65036,8.05478659670289,101.021798718889,4.61533632245345
"2","04001",2004,15658,24198,64.7078270931482,"Q1","R99",51871.8650754648,327,"PEFO","Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/Metadata/pefo_metadata.xml","Petrified Forest National Park","20230313142629","AZ","IM","23864","National Park","Lands","https://irma.nps.gov/DataStore/Reference/Profile/2298908","Petrified Forest",NA,"NPS_WASO_LANDS","20250703144025","NPS_WASO_LANDS","{46FABB97-452C-4604-8485-920E2815EF25}",0,1347243521.66979,"04","001","00025441","0500000US04001","Apache","Apache County","06","H1","G4020",NA,NA,NA,"A",29003487955,54140333,"+35.3850840","-109.4901722",-109.488437960751,35.3840403145371,32.2316826455157,3.47294990189604,20.2436053593179,40632,4.0632,65036,0.65036,8.05478659670289,101.021798718889,4.61533632245345
"3","04001",2008,15390,24262,63.4325282334515,"Q1","R99",51871.8650754648,327,"PEFO","Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/Metadata/pefo_metadata.xml","Petrified Forest National Park","20230313142629","AZ","IM","23864","National Park","Lands","https://irma.nps.gov/DataStore/Reference/Profile/2298908","Petrified Forest",NA,"NPS_WASO_LANDS","20250703144025","NPS_WASO_LANDS","{46FABB97-452C-4604-8485-920E2815EF25}",0,1347243521.66979,"04","001","00025441","0500000US04001","Apache","Apache County","06","H1","G4020",NA,NA,NA,"A",29003487955,54140333,"+35.3850840","-109.4901722",-109.488437960751,35.3840403145371,32.2316826455157,3.47294990189604,20.2436053593179,40632,4.0632,65036,0.65036,8.05478659670289,101.021798718889,4.61533632245345
"4","04001",2012,17147,25848,66.3378211080161,"Q1","R99",51871.8650754648,327,"PEFO","Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/Metadata/pefo_metadata.xml","Petrified Forest National Park","20230313142629","AZ","IM","23864","National Park","Lands","https://irma.nps.gov/DataStore/Reference/Profile/2298908","Petrified Forest",NA,"NPS_WASO_LANDS","20250703144025","NPS_WASO_LANDS","{46FABB97-452C-4604-8485-920E2815EF25}",0,1347243521.66979,"04","001","00025441","0500000US04001","Apache","Apache County","06","H1","G4020",NA,NA,NA,"A",29003487955,54140333,"+35.3850840","-109.4901722",-109.488437960751,35.3840403145371,32.2316826455157,3.47294990189604,20.2436053593179,40632,4.0632,65036,0.65036,8.05478659670289,101.021798718889,4.61533632245345
"5","04001",2016,17083,27661,61.7584324500199,"Q1","R99",51871.8650754648,327,"PEFO","Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/Metadata/pefo_metadata.xml","Petrified Forest National Park","20230313142629","AZ","IM","23864","National Park","Lands","https://irma.nps.gov/DataStore/Reference/Profile/2298908","Petrified Forest",NA,"NPS_WASO_LANDS","20250703144025","NPS_WASO_LANDS","{46FABB97-452C-4604-8485-920E2815EF25}",0,1347243521.66979,"04","001","00025441","0500000US04001","Apache","Apache County","06","H1","G4020",NA,NA,NA,"A",29003487955,54140333,"+35.3850840","-109.4901722",-109.488437960751,35.3840403145371,32.2316826455157,3.47294990189604,20.2436053593179,40632,4.0632,65036,0.65036,8.05478659670289,101.021798718889,4.61533632245345
"6","04001",2020,23293,105516,22.0753250691838,"Q1","R99",51871.8650754648,327,"PEFO","Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/Metadata/pefo_metadata.xml","Petrified Forest National Park","20230313142629","AZ","IM","23864","National Park","Lands","https://irma.nps.gov/DataStore/Reference/Profile/2298908","Petrified Forest",NA,"NPS_WASO_LANDS","20250703144025","NPS_WASO_LANDS","{46FABB97-452C-4604-8485-920E2815EF25}",0,1347243521.66979,"04","001","00025441","0500000US04001","Apache","Apache County","06","H1","G4020",NA,NA,NA,"A",29003487955,54140333,"+35.3850840","-109.4901722",-109.488437960751,35.3840403145371,32.2316826455157,3.47294990189604,20.2436053593179,40632,4.0632,65036,0.65036,8.05478659670289,101.021798718889,4.61533632245345
"7","04001",2024,37744,256808,14.6973614529142,"Q1","R99",51871.8650754648,327,"PEFO","Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/Metadata/pefo_metadata.xml","Petrified Forest National Park","20230313142629","AZ","IM","23864","National Park","Lands","https://irma.nps.gov/DataStore/Reference/Profile/2298908","Petrified Forest",NA,"NPS_WASO_LANDS","20250703144025","NPS_WASO_LANDS","{46FABB97-452C-4604-8485-920E2815EF25}",0,1347243521.66979,"04","001","00025441","0500000US04001","Apache","Apache County","06","H1","G4020",NA,NA,NA,"A",29003487955,54140333,"+35.3850840","-109.4901722",-109.488437960751,35.3840403145371,32.2316826455157,3.47294990189604,20.2436053593179,40632,4.0632,65036,0.65036,8.05478659670289,101.021798718889,4.61533632245345
"8","04017",2000,11794,25147,46.9002266671969,"Q1","B20",66605.1652605731,327,"PEFO","Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/Metadata/pefo_metadata.xml","Petrified Forest National Park","20230313142629","AZ","IM","23864","National Park","Lands","https://irma.nps.gov/DataStore/Reference/Profile/2298908","Petrified Forest",NA,"NPS_WASO_LANDS","20250703144025","NPS_WASO_LANDS","{46FABB97-452C-4604-8485-920E2815EF25}",0,1347243521.66979,"04","017","00042808","0500000US04017","Navajo","Navajo County","06","H1","G4020",NA,"43320",NA,"A",25769074415,24121089,"+35.3907852","-110.3210248",-110.320439107718,35.3901812486171,41.386530947127,3.72295548845553,45.3732922482922,49948,4.9948,109175,1.09175,9.96793792182841,87.5759803200938,4.4725067630842
"9","04017",2004,14815,32343,45.8058930835111,"Q1","B20",66605.1652605731,327,"PEFO","Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/Metadata/pefo_metadata.xml","Petrified Forest National Park","20230313142629","AZ","IM","23864","National Park","Lands","https://irma.nps.gov/DataStore/Reference/Profile/2298908","Petrified Forest",NA,"NPS_WASO_LANDS","20250703144025","NPS_WASO_LANDS","{46FABB97-452C-4604-8485-920E2815EF25}",0,1347243521.66979,"04","017","00042808","0500000US04017","Navajo","Navajo County","06","H1","G4020",NA,"43320",NA,"A",25769074415,24121089,"+35.3907852","-110.3210248",-110.320439107718,35.3901812486171,41.386530947127,3.72295548845553,45.3732922482922,49948,4.9948,109175,1.09175,9.96793792182841,87.5759803200938,4.4725067630842
"10","04017",2008,15579,35800,43.5167597765363,"Q1","B20",66605.1652605731,327,"PEFO","Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/Metadata/pefo_metadata.xml","Petrified Forest National Park","20230313142629","AZ","IM","23864","National Park","Lands","https://irma.nps.gov/DataStore/Reference/Profile/2298908","Petrified Forest",NA,"NPS_WASO_LANDS","20250703144025","NPS_WASO_LANDS","{46FABB97-452C-4604-8485-920E2815EF25}",0,1347243521.66979,"04","017","00042808","0500000US04017","Navajo","Navajo County","06","H1","G4020",NA,"43320",NA,"A",25769074415,24121089,"+35.3907852","-110.3210248",-110.320439107718,35.3901812486171,41.386530947127,3.72295548845553,45.3732922482922,49948,4.9948,109175,1.09175,9.96793792182841,87.5759803200938,4.4725067630842
