GEOID,year,voteshare,CnP_distance_miles,CnP_distance_log,M1_distance_miles,WHITE,INCOME10K,POPULATION100K,BA,M1_distance_log,proximity
12011,2024,58.010906317499845,47.335804271435045,3.857266970488268,1.4942071408169333,42.635501177466836,7.0834,19.62531,21.146554328161386,0.4015957255716574,2.6641957285649553
12086,2024,43.903921470060006,19.97891594882094,2.9946775149326843,35.890010379791384,36.90397632141857,6.6952,26.86867,19.546899399935,3.5804589943707135,30.02108405117906
12086,2024,43.903921470060006,29.215649812923083,3.374704518200358,35.890010379791384,36.90397632141857,6.6952,26.86867,19.546899399935,3.5804589943707135,30.02108405117906
12087,2024,40.45524273596824,39.06543032936044,3.665237941114656,72.55443364156073,72.56842619745846,7.9459,0.80614,21.87893616713237,4.28433708899378,10.934569670639561
13281,2024,18.65806743607151,49.365795352401726,3.8992577825998165,41.807661402903086,93.5395242954706,5.9273,0.13035,16.6367552045944,3.7330796098864645,0.6342046475982741
15001,2024,62.981297465679816,20.017952456178087,2.996629493740459,126.03065282863093,31.13302959486263,7.1143,2.07615,17.97855251161377,4.836525153782275,29.982047543821913
15009,2024,61.85903041673954,33.79202870629008,3.5202249375830235,0.7956350483901165,30.980611302784393,8.9794,1.64183,18.941074950690336,-0.2286146801946909,16.207971293709917
16043,2024,14.02322504777304,47.90000248891532,3.869115556377522,62.882328822828256,88.83293190278081,6.1115,0.14196,15.823880023072487,4.141265183421591,2.0999975110846805
16065,2024,15.936186142947648,47.497491648533256,3.860676902246936,39.87706967273572,88.13318899548322,5.2224,0.54547,13.401601803790781,3.6858014637764924,2.5025083514667443
16081,2024,51.70200059719319,25.310402222630124,3.231215466277069,61.521757661968124,82.36509379390134,9.558,0.12549,31.587438158743815,4.119390895367413,24.689597777369876
17005,2024,26.49230384182205,44.18163189442092,3.7883091347118145,50.3989809919195,88.80134720635111,6.6071,0.1645,11.075158111486983,3.9199709564586325,5.818368105579083
17013,2024,20.8955223880597,45.75915694332544,3.8233919234605143,34.37808623685114,94.93871992737176,6.8525,0.04317,12.482188657737247,3.537419333392293,4.2408430566745565
17027,2024,23.12532501300052,40.909837913231506,3.7113705699004957,50.74368542457122,91.35748936285536,7.9612,0.36785,16.78360349773615,3.926787185048846,9.090162086768494
17031,2024,69.63225487786637,33.32630102005459,3.5063469056644454,10.626309264560486,46.4474223130341,7.6614,50.87072,23.883080763523147,2.363332932118727,16.673698979945407
17083,2024,24.080725158200785,33.25315050543975,3.5041495146564725,24.20234728076223,95.33652043494563,7.2363,0.21091,13.114754098360656,3.1864496235317423,16.74684949456025
17117,2024,29.421558164354323,46.245605729962094,3.8339664482005174,41.22723296806591,94.61248485392451,6.988,0.44018,13.209897514297039,3.7190990323654516,3.7543942700379063
17119,2024,42.33873391848022,20.66501331115104,3.0284420921033885,24.892824096366745,84.00074065396723,6.7441,2.62752,18.612356547409785,3.214579573035327,29.33498668884896
17133,2024,30.968328389627786,23.824327065970607,3.170707204271303,32.851231085538025,96.12799908490376,10.0487,0.34957,22.90381791483113,3.491989220196085,26.175672934029393
17157,2024,24.147073187748553,43.784695008880554,3.7792843272968626,39.852101041363106,86.91858536261695,6.2575,0.29815,9.352607898683553,3.6851751275945093,6.215304991119446
17163,2024,52.877577899668225,17.1859615300041,2.8440928604388636,29.12204321831826,61.15544181774651,6.7185,2.51018,16.76285495011512,3.37149538633123,32.8140384699959
17189,2024,20.682359164242264,45.52013082379406,3.8181546637988766,42.41968911356684,95.5854407250402,7.1958,0.13536,15.356151711378354,3.7476126203394506,4.479869176205938
17197,2024,49.71673117544352,47.47031118305624,3.860104487904206,22.082207357304632,65.0321426014747,9.7076,7.00728,21.571268449359042,3.094772187304558,2.529688816943761
18073,2024,22.04600025274864,42.597575120223496,3.7517973295947216,36.467088466790564,88.89993373094765,7.5738,0.33535,11.844789704959197,3.59641016798388,7.402424879776504
18089,2024,52.05701714618398,18.479321492933472,2.9166523497891452,33.18754342116551,57.226196917773905,6.6169,5.00598,15.852670003190092,3.5021746073603377,31.520678507066528
18091,2024,42.073055327739574,19.23456808519033,2.956709081322065,0.014927363138174865,79.21812717917621,6.6336,1.11706,13.868414487560385,-4.204559298020939,30.76543191480967
18099,2024,27.38381307837824,48.12945610199104,3.873894382648445,28.192694555130576,90.10924824229313,7.0938,0.46352,12.365977751588145,3.3390628860539597,1.870543898008961
18111,2024,20.75443114679594,49.814740072719,3.908310925631535,27.16780566630278,89.15506169276283,6.6837,0.1396,9.319323892188214,3.3020326570667953,0.1852599272810025
